group,video,frame,is_face,sample_type,detector_sample
8,XS_0819,14318,False,high_density,mtcnn
12,XS_1229,03681,True,high_density,mtcnn
12,XS_1218,08588,False,random,mtcnn
12,XS_1222,06365,False,random,mtcnn
12,XS_1218,14731,False,random,mtcnn
12,XS_1218,02517,False,random,mtcnn
8,XS_0821,26948,True,high_density,mtcnn
16,XS_1622,02755,True,high_density,mtcnn
16,XS_1639,03287,True,high_density,mtcnn
8,XS_0826,14516,False,random,mtcnn
8,XS_0822,00402,True,high_density,mtcnn
8,XS_0805,15255,True,high_density,mtcnn
12,XS_1224,17862,True,high_density,mtcnn
16,XS_1612,18663,True,high_density,mtcnn
12,XS_1211,12568,True,high_density,mtcnn
16,XS_1619,01019,True,high_density,mtcnn
8,XS_0803,22016,True,high_density,mtcnn
8,XS_0803,17762,False,random,mtcnn
16,XS_1638,06015,False,random,mtcnn
12,XS_1208,10928,False,random,mtcnn
16,XS_1619,13416,True,high_density,mtcnn
16,XS_1634,01982,True,high_density,mtcnn
8,XS_0805,00056,False,random,mtcnn
12,XS_1211,55894,False,random,mtcnn
16,XS_1622,07299,False,random,mtcnn
16,XS_1635,17084,False,random,mtcnn
8,XS_0803,20115,False,random,mtcnn
8,XS_0805,10515,True,high_density,mtcnn
12,XS_1222,10958,True,high_density,mtcnn
12,XS_1230,04640,False,random,mtcnn
12,XS_1218,16840,False,high_density,mtcnn
8,XS_0807,03304,True,high_density,mtcnn
8,XS_0826,12416,True,high_density,mtcnn
16,XS_1622,02796,True,high_density,mtcnn
8,XS_0803,03800,False,random,mtcnn
16,XS_1628,39655,True,high_density,mtcnn
16,XS_1622,05576,False,random,mtcnn
12,XS_1218,19126,False,high_density,mtcnn
16,XS_1639,03103,True,high_density,mtcnn
16,XS_1629,24470,False,random,mtcnn
8,XS_0819,17585,False,high_density,mtcnn
8,XS_0807,12599,False,random,mtcnn
12,XS_1208,03232,False,random,mtcnn
12,XS_1211,06102,True,high_density,mtcnn
16,XS_1631,15405,False,high_density,mtcnn
12,XS_1201,01413,True,high_density,mtcnn
12,XS_1230,02215,True,high_density,mtcnn
8,XS_0819,18888,False,high_density,mtcnn
16,XS_1628,48669,False,high_density,mtcnn
12,XS_1230,05057,False,random,mtcnn
12,XS_1229,01027,False,random,mtcnn
8,XS_0825,11095,False,high_density,mtcnn
16,XS_1612,09731,True,high_density,mtcnn
8,XS_0821,25615,False,random,mtcnn
12,XS_1219,24468,True,high_density,mtcnn
16,XS_1634,06765,True,high_density,mtcnn
8,XS_0814,02551,True,high_density,mtcnn
12,XS_1201,03213,False,random,mtcnn
12,XS_1222,00715,False,random,mtcnn
12,XS_1222,13178,False,random,mtcnn
8,XS_0801,06131,False,random,mtcnn
12,XS_1208,09665,False,random,mtcnn
8,XS_0826,08406,False,random,mtcnn
12,XS_1216,05946,True,high_density,mtcnn
16,XS_1604,14679,False,random,mtcnn
16,XS_1638,24205,True,high_density,mtcnn
16,XS_1628,45479,True,high_density,mtcnn
16,XS_1629,03653,True,high_density,mtcnn
8,XS_0821,04550,False,random,mtcnn
8,XS_0826,09666,True,high_density,mtcnn
16,XS_1619,05820,False,random,mtcnn
8,XS_0803,08749,True,high_density,mtcnn
16,XS_1635,16862,True,high_density,mtcnn
16,XS_1638,01020,True,high_density,mtcnn
