"group","video","frame","is_face","angle"
"12","XS_1216","07341","False","0"
"12","XS_1208","07344","False","0"
"12","XS_1219","14624","False","0"
"16","XS_1638","07262","True","0"
"16","XS_1638","05561","True","0"
"16","XS_1639","03218","True","0"
"12","XS_1219","25121","True","0"
"12","XS_1224","23497","False","0"
"16","XS_1604","22706","True","0"
"8","XS_0815","25438","True","0"
"16","XS_1628","08900","True","0"
"16","XS_1604","13764","True","0"
"8","XS_0822","20800","True","0"
"16","XS_1604","03185","True","0"
"16","XS_1604","19751","False","0"
"8","XS_0815","24930","True","0"
"8","XS_0801","03818","True","0"
"16","XS_1604","18515","True","0"
"16","XS_1612","00007","True","0"
"12","XS_1225","17340","True","0"
"8","XS_0825","15148","False","0"
"8","XS_0822","04569","True","0"
"12","XS_1211","17610","False","0"
"16","XS_1604","20639","True","0"
"8","XS_0822","06504","False","0"
"8","XS_0805","16588","False","0"
"12","XS_1219","17822","False","0"
"8","XS_0807","07347","True","0"
"12","XS_1224","14716","True","0"
"16","XS_1612","12699","True","0"
"12","XS_1208","04851","False","0"
"12","XS_1222","26663","True","0"
"8","XS_0826","02102","True","0"
"8","XS_0825","02304","False","0"
"12","XS_1229","02478","True","0"
"8","XS_0822","26139","True","0"
"16","XS_1628","02770","True","0"
"8","XS_0801","03730","True","0"
"12","XS_1208","04787","True","0"
"12","XS_1208","09013","True","0"
"16","XS_1634","20948","False","0"
"8","XS_0807","15447","True","0"
"16","XS_1639","17663","False","0"
"16","XS_1614","04413","False","0"
"8","XS_0822","18141","False","0"
"16","XS_1612","04145","True","0"
"16","XS_1612","13475","True","0"
"8","XS_0815","01156","True","0"
"8","XS_0811","11652","True","0"
"12","XS_1219","07042","True","0"
"16","XS_1612","07128","True","0"
"8","XS_0815","22114","False","0"
"12","XS_1208","03423","False","0"
"16","XS_1612","03039","True","0"
"12","XS_1224","03786","True","0"
"8","XS_0801","12831","False","0"
"12","XS_1219","24061","False","0"
"12","XS_1216","06332","False","0"
"16","XS_1638","15041","True","0"
"12","XS_1224","15042","True","0"
"16","XS_1628","10744","True","0"
"12","XS_1225","14666","True","0"
"12","XS_1225","10528","True","0"
"16","XS_1604","25162","True","0"
"16","XS_1612","06728","True","0"
"8","XS_0805","10525","True","0"
"8","XS_0805","18480","False","0"
"16","XS_1619","06723","False","0"
"12","XS_1230","03255","False","0"
"16","XS_1628","10093","True","0"
"16","XS_1604","01637","True","0"
"8","XS_0822","08943","False","0"
"12","XS_1211","12539","True","0"
"16","XS_1628","21884","False","0"
"12","XS_1208","11376","True","0"
"12","XS_1225","13150","True","0"
"16","XS_1604","03853","False","0"
"16","XS_1638","09407","True","0"
"16","XS_1639","05004","False","0"
"16","XS_1638","25488","False","0"
"12","XS_1225","09233","False","0"
"12","XS_1225","23515","True","0"
"16","XS_1622","20848","False","0"
"12","XS_1225","16095","True","0"
"16","XS_1622","06793","False","0"
